scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,geonameid,meganame,ls_name,ls_match,checkme,the_geom,cartodb_id,created_at,updated_at,the_geom_webmercator
8,10,1,Populated place,Willmar,,,0,Willmar,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Minnesota,US,,45.12188275050,-95.04330489270,0.00000000000,0,,18473,18391,17963,5052916.00000000000,,Willmar,1,0,0101000020E61000004486E281C5C257C068B89DDA998F4640,32,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000D41FBA89192E64C11D99847886845541
7,20,8,Populated place,Caluula,,,0,Caluula,0.00000000000,0.00000000000,,0.00000000000,0,Somalia,SOM,Somalia,SOM,Bari,SO,,11.96695558570,50.75001826860,0.00000000000,0,,0,0,0,-1.00000000000,,Caluula,0,0,0101000020E6100000E89D3F9900604940005472CD14EF2740,1941,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F00005624408C0E8D5541DA70C2F8FB793441
7,20,3,Populated place,Victorica,,,0,Victorica,0.00000000000,0.00000000000,,0.00000000000,0,Argentina,ARG,Argentina,ARG,La Pampa,AR,,-36.21625323610,-65.45002079430,0.00000000000,0,,4458,4458,0,-1.00000000000,,Victorica,1,0,0101000020E6100000DC870424CD5C50C0286BA02FAE1B42C0,4662,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F00009BD22EBF19CB5BC1B382689BEC8450C1
3,110,5,Populated place,Kassala,,,0,Kassala,0.00000000000,0.00000000000,,0.00000000000,0,Sudan,SDN,Sudan,SDN,Kassala,SU,,15.45997235000,36.39001623410,0.00000000000,0,,401477,339521,338067,372753.00000000000,,Kassala,1,0,0101000020E610000098254D0DEC314240C0BDF07E81EB2E40,5527,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F00004BA0DF09F3E74E41A4A318F9BB953A41
7,20,1,Populated place,Aniak,,,0,Aniak,0.00000000000,0.00000000000,,0.00000000000,0,United States,USA,United States of America,USA,Alaska,US,,61.57870770180,-159.52218571200,0.00000000000,0,,0,0,0,-1.00000000000,,Aniak,0,0,0101000020E61000007444CFBEB5F063C068800E1813CA4E40,683,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F00002E0DBD876EEF70C172483A5E4FB56041
7,20,6,Admin-1 capital,Jizzax,,Dzhizak,0,Jizzax,0.00000000000,0.00000000000,,0.00000000000,0,Uzbekistan,UZB,Uzbekistan,UZB,Jizzakh,UZ,,40.10038047190,67.83000931690,0.00000000000,0,,235352,152642,224455,1513886.00000000000,,Jizzax,1,0,0101000020E6100000ECDA65DF1EF55040F8E36D44D90C4440,811,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000A80C4086D4CD5C415CDE4F02279E5241
7,20,6,Admin-1 capital,Solwezi,,,0,Solwezi,0.00000000000,0.00000000000,,0.00000000000,0,Zambia,ZMB,Zambia,ZMB,North-Western,ZA,,-12.17958087280,26.39998001980,0.00000000000,0,,38587,4846,38752,897045.00000000000,,Solwezi,1,0,0101000020E6100000004F301765663A4080ED2E06F25B28C0,905,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F00005DF4972AE86B464127F829B688D834C1
8,10,7,Admin-1 capital,San Pedro,,,0,San Pedro,0.00000000000,0.00000000000,,0.00000000000,0,Paraguay,PRY,Paraguay,PRY,San Pedro,PA,,-24.08996498740,-57.07998905600,0.00000000000,0,,9360,5342,5185,3437021.00000000000,,San Pedro2,1,0,0101000020E610000018CAD5143D8A4CC0109A06F2071738C0,1320,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F00004F9F3CD4303D58C1572556492B1745C1
7,20,6,Populated place,Oranjemund,,,0,Oranjemund,0.00000000000,0.00000000000,,0.00000000000,0,Namibia,NAM,Namibia,NAM,Karas,WA,,-28.54948606490,16.42999426130,0.00000000000,0,,8496,5950,5950,3354071.00000000000,,Oranjemund,1,0,0101000020E610000040F3991A146E30407040661EAB8C3CC0,2467,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000D9FC4B9872E83B414B138FDB4E5149C1
7,20,8,Populated place,Oamaru,,,0,Oamaru,0.00000000000,0.00000000000,,0.00000000000,0,New Zealand,NZL,New Zealand,NZL,Otago,NZ,,-45.09731321340,170.97100052800,0.00000000000,0,,13000,256,256,6215045.00000000000,,Oamaru,1,0,0101000020E61000002C26B36F125F6540E07766C2748C46C0,2495,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F00001CED814B952672414BE37E9FBD8055C1
7,20,1,Populated place,Maues,,,0,Maues,0.00000000000,0.00000000000,,0.00000000000,0,Brazil,BRA,Brazil,BRA,Amazonas,BR,,-3.38962644564,-57.72002750820,0.00000000000,0,,32561,22475,32561,3395062.00000000000,,Maues,1,0,0101000020E610000008E083DC29DC4CC080474D78F41D0BC0,4156,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000D1AF8704C58258C13225C1263F0B17C1
8,10,1,Populated place,Concordia,,,0,Concordia,0.00000000000,0.00000000000,,0.00000000000,0,Brazil,BRA,Brazil,BRA,Santa Catarina,BR,,-27.23003171920,-52.03001306310,1.00000000000,0,Changed scale rank.,55367,36882,112736,3465721.00000000000,,Concordia2,1,0,0101000020E61000003055D277D7034AC090DED65BE33A3BC0,4293,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000EC9BD9A3341856C191D0BF57B80C48C1
7,20,2,Populated place,Nelson,,,0,Nelson,0.00000000000,0.00000000000,,0.00000000000,0,Canada,CAN,Canada,CAN,British Columbia,CA,,49.48365785630,-117.28329105800,0.00000000000,0,,11779,9813,36817,6086871.00000000000,,Nelson2,1,0,0101000020E6100000A88DD17021525DC050B42980E8BD4840,4425,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000AA2EA787F5E668C1C855F88354405841
7,20,6,Populated place,Apolo,,,0,Apolo,0.00000000000,0.00000000000,,0.00000000000,0,Bolivia,BOL,Bolivia,BOL,La Paz,BL,,-14.71958087280,-68.41999454920,0.00000000000,0,,4189,4189,4189,-1.00000000000,,Apolo,1,0,0101000020E6100000E857D130E11A51C020B276E76C702DC0,4895,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000C8D102BDF70D5DC1310214E2474839C1
7,20,3,Populated place,Scone,,,0,Scone,0.00000000000,0.00000000000,,0.00000000000,0,Australia,AUS,Australia,AUS,New South Wales,AS,,-32.07960650760,150.85010982200,0.00000000000,0,,0,0,0,-1.00000000000,,Scone,0,0,0101000020E6100000B851831934DB6240C857C98B300A40C0,5116,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000846195D6BE037041325F5561A2CA4CC1
7,20,5,Populated place,Ye,,,0,Ye,0.00000000000,0.00000000000,,0.00000000000,0,Myanmar,MMR,Myanmar,MMR,Mon,BM,,15.25326662080,97.86786576230,0.00000000000,0,,50798,50798,50798,-1.00000000000,,Ye,1,0,0101000020E6100000C49FD61C8B775840E0669B29AC812E40,5285,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F000056F9691FA1C764412599CB9A85383A41
6,30,2,Populated place,Uelen,,,0,Uelen,0.00000000000,0.00000000000,,0.00000000000,0,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RS,,66.15413930900,-169.81058349700,1.00000000000,0,Changed scale rank.,0,0,0,-1.00000000000,,Uelen,0,0,0101000020E61000008849CD4CF03965C004D01E6BDD895040,5673,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F000073A7FABA0B0772C11D93870657EB6241
3,110,5,Admin-1 capital,Mombasa,,,0,Mombasa,0.00000000000,0.00000000000,,0.00000000000,1,Kenya,KEN,Kenya,KEN,Coast,KE,,-4.04002602246,39.68991817090,0.00000000000,0,,882000,799668,907319,186301.00000000000,Mombasa,Mombasa,1,0,0101000020E610000070020B7A0FD843400069897CFE2610C0,6066,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F0000074C94377FDA50416FCF847F86751BC1
3,110,8,Admin-0 capital,Lilongwe,,,0,Lilongwe,1.00000000000,0.00000000000,,0.00000000000,0,Malawi,MWI,Malawi,MWI,Lilongwe,MI,,-13.98329506550,33.78330196000,0.00000000000,0,,646750,646750,1061388,927967.00000000000,,Lilongwe,1,0,0101000020E6100000D082163D43E440404004697372F72BC0,6344,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F000020235AFC31B14C412C48B61ACCFD37C1
3,110,3,Admin-1 capital,Gonder,,,0,Gonder,0.00000000000,0.00000000000,,0.00000000000,0,Ethiopia,ETH,Ethiopia,ETH,Amhara,ET,,12.61004294730,37.46002844110,0.00000000000,0,,156230,153914,287940,336014.00000000000,,Gonder,1,5,0101000020E610000080EA4236E2BA4240A0E5978C57382940,6543,2013-06-07 12:57:48.688979,2013-06-07 12:57:48.930105,0101000020110F000039F444A597D04F41F9FA7F372F983541
