field1,field2,field3,field4
28079003,Plaza del Carmen,"3ź 42' 11,42'' W","40ź 25' 09,15'' N"
28079004,Plaza de Espaa,"3ź 42' 44,40'' W","40ź 25' 26,37'' N"
28079005,Barrio del Pilar,"3ź 42' 41,55'' W","40ź 28' 41,62'' N"
28079008,Escuelas Aguirre,"3ź 40' 56,35'' W","40ź 25' 17,63'' N"
28079010,Cuatro Caminos,"3ź 42' 25,66'' W","40ź 26' 43,95"" N"
28079011,Ramn y Cajal,"3ź 40' 38,47'' W","40ź 27' 05,30'' N"
28079013,Puente de Vallecas,"3ź 39' 05,48'' W","40ź 23' 17,34'' N"
28079016,Arturo Soria,"3ź 38' 21,24'' W","40ź 26' 24,17'' N"
28079017,Villaverde,"3ź42'47,98""W","40ź20'49,56""N"
28079018,Farolillo,"3ź 43' 54,60'' W","40ź 23' 41,20'' N"
28079020,Moratalaz,"3ź 38' 43,06'' W","40ź 24' 28,64'' N"
28079024,Casa de Campo,"3ź 44' 50,44'' W","40ź 25' 09,68'' N"
28079027,Barajas Pueblo,"3ź 34' 48,10'' W","40ź 28' 36,94'' N"
28079035,Plaza del Carmen,"3ź 42' 11,42'' W","40ź 25' 09,15'' N"
28079036,Moratalaz,"3ź 38' 43,06'' W","40ź 24' 28,64'' N"
28079038,Cuatro Caminos,"3ź 42' 25,66'' W","40ź 26' 43,95"" N"
28079039,Barrio del Pilar,"3ź 42' 41,55'' W","40ź 28' 41,62'' N"
28079040,Puente de Vallecas,"3ź 39' 05,48'' W","40ź 23' 17,34'' N"
28079047,Mendez Alvaro,"3ź41'12""O","40ź23'53"" N"
28079048,Castellana,3ź 41' 25'' O,40ź 26' 23'' N
28079049,Parque del Retiro,"3ź40'57"" O","40ź24'52"" N"
28079050,Plaza Castilla,"03ź41'19""O","40ź27'56""N"
28079054,Ensanche de Vallecas,3ź 36' 43''O,40ź 22' 22'' N
28079055,Urbanizacin Embajada (Barajas),3ź 34' 50'' W,40ź 27' 45'' N
28079056,Plaza Fernndez Ladreda,3ź 43' 7'' W,40ź 23' 05'' N
28079057,Sanchinarro,"3ź39'37,8"" O","40ź29'39,1"" N"
28079058,El Pardo,"3ź46'28,6""","40ź31'5"""
28079059,Juan Carlos I,3ź 36' 32'' W,40ź 27' 54'' N
28079086,Tres Olivos,3ź 41' 23' O,40ź 30' 02'' N
28079099,Station Average,0,0
